freq	mag(S(1,1))
5.00000000000000000E5	9.92638112714429610E-1
5.01499999999999968E5	9.92714308476286611E-1
5.02999999999999936E5	9.92790504238143434E-1
5.04499999999999993E5	9.92866700000000080E-1
5.06000000000000050E5	9.93136790817356285E-1
5.07500000000000018E5	9.93406881634712313E-1
5.08999999999999986E5	9.93676972452068341E-1
5.10499999999999954E5	9.93678083854692318E-1
5.12000000000000011E5	9.93562079818365440E-1
5.13499999999999979E5	9.93446075782038562E-1
5.15000000000000036E5	9.93335370433904963E-1
5.16500000000000004E5	9.93232837638748656E-1
5.17999999999999972E5	9.93130304843592526E-1
5.19500000000000028E5	9.93024437235115975E-1
5.20999999999999996E5	9.92884850958627396E-1
5.22499999999999964E5	9.92745264682139350E-1
5.24000000000000021E5	9.92605678405651126E-1
5.25499999999999989E5	9.92613931483349887E-1
5.27000000000000046E5	9.92662276589303794E-1
5.28500000000000014E5	9.92710621695256989E-1
5.29999999999999982E5	9.92696928456104999E-1
5.31499999999999950E5	9.92616918365287582E-1
5.33000000000000007E5	9.92536908274470164E-1
5.34500000000000064E5	9.92471779515640584E-1
5.36000000000000032E5	9.92474443491422775E-1
5.37500000000000000E5	9.92477107467204966E-1
5.38999999999999968E5	9.92479771442986802E-1
5.40499999999999936E5	9.92368875681130369E-1
5.41999999999999993E5	9.92242003834510555E-1
5.43500000000000050E5	9.92115131987890919E-1
5.45000000000000018E5	9.91951083148335400E-1
5.46499999999999986E5	9.91759367709384598E-1
5.47999999999999954E5	9.91567652270433619E-1
5.49500000000000011E5	9.91369594147326083E-1
5.50999999999999979E5	9.91154387285569882E-1
5.52500000000000036E5	9.90939180423814392E-1
5.54000000000000004E5	9.90723973562058369E-1
5.55499999999999972E5	9.90606477093844617E-1
5.57000000000000028E5	9.90492349949546025E-1
5.58499999999999996E5	9.90378222805247255E-1
5.59999999999999964E5	9.90378515640766821E-1
5.61500000000000021E5	9.90436880928355201E-1
5.62999999999999989E5	9.90495246215943581E-1
5.64500000000000046E5	9.90617833905146306E-1
5.66000000000000014E5	9.90854594752774887E-1
5.67499999999999982E5	9.91091355600403467E-1
5.68999999999999950E5	9.91308792028254260E-1
5.70500000000000007E5	9.91204533703329993E-1
5.72000000000000064E5	9.91100275378405549E-1
5.73500000000000032E5	9.90996017053481282E-1
5.75000000000000000E5	9.91130689303733448E-1
5.76499999999999968E5	9.91343595459132310E-1
5.77999999999999936E5	9.91556501614530816E-1
5.79499999999999993E5	9.91603361856710386E-1
5.81000000000000050E5	9.91447277093844725E-1
5.82500000000000018E5	9.91291192330978710E-1
5.83999999999999986E5	9.91065888597376166E-1
5.85499999999999954E5	9.90437856306760800E-1
5.87000000000000011E5	9.89809824016145434E-1
5.88499999999999979E5	9.89181791725529891E-1
5.90000000000000036E5	9.88931063874873928E-1
5.91500000000000004E5	9.88750428153380412E-1
5.92999999999999972E5	9.88569792431886896E-1
5.94500000000000028E5	9.88427490716448176E-1
5.95999999999999996E5	9.88317843895055681E-1
5.97499999999999964E5	9.88208197073662831E-1
5.99000000000000021E5	9.88046249545913291E-1
6.00499999999999989E5	9.87715613824419592E-1
6.02000000000000046E5	9.87384978102926425E-1
6.03500000000000014E5	9.87054342381432548E-1
6.04999999999999982E5	9.87046342381432851E-1
6.06499999999999950E5	9.87061387790111233E-1
6.08000000000000007E5	9.87076433198789260E-1
6.09500000000000064E5	9.86819860242179558E-1
6.11000000000000032E5	9.86403765388496545E-1
6.12500000000000000E5	9.85987670534813354E-1
6.13999999999999968E5	9.85527658627648684E-1
6.15499999999999936E5	9.84977123814328692E-1
6.16999999999999993E5	9.84426589001008878E-1
6.18500000000000050E5	9.83894220988899804E-1
6.20000000000000018E5	9.84122263370333172E-1
6.21499999999999986E5	9.84350305751766008E-1
6.22999999999999954E5	9.84578348133198666E-1
6.24500000000000011E5	9.84289821392532716E-1
6.25999999999999979E5	9.83800406659939419E-1
6.27500000000000036E5	9.83310991927346123E-1
6.29000000000000004E5	9.83022687184661947E-1
6.30499999999999972E5	9.83015936427850612E-1
6.32000000000000028E5	9.83009185671039276E-1
6.33499999999999996E5	9.83012082542885679E-1
6.34999999999999964E5	9.83090457921291616E-1
6.36500000000000021E5	9.83168833299697198E-1
6.37999999999999989E5	9.83247208678103135E-1
6.39500000000000046E5	9.83159137638748781E-1
6.40999999999999925E5	9.83032023612512695E-1
6.42499999999999982E5	9.82904909586276254E-1
6.44000000000000039E5	9.83115171140262056E-1
6.45500000000000007E5	9.83653929969727514E-1
6.47000000000000064E5	9.84192688799192439E-1
6.48499999999999943E5	9.84649445408678226E-1
6.50000000000000000E5	9.84784914631685027E-1
6.51500000000000057E5	9.84920383854692361E-1
6.52999999999999936E5	9.85055853077699339E-1
6.54499999999999993E5	9.84850893440968633E-1
6.55999999999999961E5	9.84608108375378421E-1
6.57500000000000018E5	9.84365323309788032E-1
6.59000000000000075E5	9.84190327043390312E-1
6.60499999999999954E5	9.84061154490413692E-1
6.62000000000000011E5	9.83931981937437072E-1
6.63499999999999979E5	9.83828241473259268E-1
6.65000000000000036E5	9.83785769223007200E-1
6.66500000000000092E5	9.83743296972754777E-1
6.67999999999999972E5	9.83700824722502709E-1
6.69500000000000028E5	9.83880518062563070E-1
6.70999999999999908E5	9.84062455499495492E-1
6.72499999999999964E5	9.84244392936427914E-1
6.74000000000000021E5	9.84176074672048529E-1
6.75499999999999989E5	9.83993562058526727E-1
6.77000000000000046E5	9.83811049445004748E-1
6.78499999999999925E5	9.83751172552976882E-1
6.79999999999999982E5	9.83888579212916348E-1
6.81500000000000039E5	9.84025985872855280E-1
6.83000000000000007E5	9.84168747124117083E-1
6.84500000000000064E5	9.84373086175579992E-1
6.85999999999999943E5	9.84577425227043435E-1
6.87500000000000000E5	9.84781764278506344E-1
6.89000000000000057E5	9.84806263067608612E-1
6.90499999999999936E5	9.84779048133198565E-1
6.91999999999999993E5	9.84751833198789228E-1
6.93499999999999961E5	9.84855756912209834E-1
6.95000000000000018E5	9.85105595459132388E-1
6.96500000000000075E5	9.85355434006054587E-1
6.97999999999999954E5	9.85567616952573111E-1
6.99500000000000011E5	9.85595951967709460E-1
7.00999999999999979E5	9.85624286982845632E-1
7.02500000000000036E5	9.85652621997981804E-1
7.04000000000000092E5	9.84897283955600322E-1
7.05499999999999972E5	9.84021380827446990E-1
